,name,gender,frequency
0,ANNA,F,0.024559961704799526
0,PIOTR,M,0.0157833753017114
1,KRZYSZTOF,M,0.014686436522696515
1,KATARZYNA,F,0.01384718344762956
2,MARIA,F,0.013408014103243446
3,MAŁGORZATA,F,0.013216615951537319
4,AGNIESZKA,F,0.012535903467738845
2,TOMASZ,M,0.0122906509730715
3,ANDRZEJ,M,0.012207465246890335
4,PAWEŁ,M,0.01158614824168089
5,MICHAŁ,M,0.011267578737591004
5,BARBARA,F,0.010989651860523296
6,JAN,M,0.010941338653189893
6,EWA,F,0.010901382943807526
7,MARCIN,M,0.010294765976090045
7,MAGDALENA,F,0.009950528649525874
8,JAKUB,M,0.009770464638876635
8,ELŻBIETA,F,0.009506917237735647
9,JOANNA,F,0.009250559574558018
10,KRYSTYNA,F,0.009247605828706828
9,ADAM,M,0.00919723186845399
11,ALEKSANDRA,F,0.008923495188989132
10,ŁUKASZ,M,0.008782974737138372
11,MAREK,M,0.008655185158878784
12,MONIKA,F,0.008653902912617802
12,MATEUSZ,M,0.008632516876765006
13,GRZEGORZ,M,0.008582348991804111
13,ZOFIA,F,0.008454261749233938
14,STANISŁAW,M,0.008384516711538417
15,WOJCIECH,M,0.007677701357427107
14,TERESA,F,0.007509200460381361
15,NATALIA,F,0.007261475062210696
16,JULIA,F,0.007043241328042602
17,DANUTA,F,0.006794989293014748
18,KAROLINA,F,0.006739440553208663
19,MARTA,F,0.006635006174702664
16,MARIUSZ,M,0.006568512547168917
17,DARIUSZ,M,0.006502385275709736
20,BEATA,F,0.006412215886857154
21,DOROTA,F,0.006143081555579033
18,MACIEJ,M,0.006130121709441257
19,RAFAŁ,M,0.005993722763429366
20,ZBIGNIEW,M,0.005988456394857478
21,ROBERT,M,0.005936891777362299
22,ALICJA,F,0.005788471772653708
22,KAMIL,M,0.005748676344053965
23,SZYMON,M,0.005505186937995471
24,DAWID,M,0.00546250645530852
23,HALINA,F,0.005450897547195707
24,JOLANTA,F,0.0054258479505972495
25,JERZY,M,0.005425687669814627
25,IWONA,F,0.005324481804215742
26,JADWIGA,F,0.0053085911094814375
26,JACEK,M,0.005292975181803057
27,GRAŻYNA,F,0.005224558184877838
27,KACPER,M,0.005220619857076252
28,PAULINA,F,0.005130496262732992
29,ZUZANNA,F,0.005129740653329199
30,HANNA,F,0.0050973410379847595
31,JANINA,F,0.004973215020470833
32,JUSTYNA,F,0.00496224723548851
33,IRENA,F,0.00479466222862918
34,WIKTORIA,F,0.004706713873478655
28,JÓZEF,M,0.004685304940371198
29,BARTOSZ,M,0.004673810518531687
30,RYSZARD,M,0.0046066986651221095
35,BOŻENA,F,0.004551653664918553
31,TADEUSZ,M,0.004549730295527081
32,ARTUR,M,0.0045076222442066395
33,JAROSŁAW,M,0.004365224217473728
36,RENATA,F,0.004300791342859415
34,SEBASTIAN,M,0.004256920202930125
35,SŁAWOMIR,M,0.004226237881685214
37,URSZULA,F,0.004222070581337025
38,AGATA,F,0.004214216822988514
36,DAMIAN,M,0.004211812611249174
39,SYLWIA,F,0.0041776728045505454
37,JANUSZ,M,0.004131557733664537
38,PATRYK,M,0.004121139482794064
40,MAJA,F,0.0041153235801103276
39,MIROSŁAW,M,0.00410167681633274
40,ROMAN,M,0.004004844326373987
41,FILIP,M,0.003903386590973838
42,DANIEL,M,0.003892991237358025
